date,year,quarter,bank,total_assets,total_equity,total_liabilities,cet1_ratio,lcr_ratio,slr_ratio,roa,roe,dividend_payout_ratio,repo,total_var
2009-09-30,2009,3,statestreet,163277.0,13440.0,149837.0,,,,0.7,-17.42,0.92,16839.0,5.13
2009-09-30,2009,3,wellsfargo,1228625.0,90561.0,1099701.0,,,,0.75,6.69,8.87,,42.0
2009-09-25,2009,3,goldmansachs,882185.0,58397.0,815874.0,,,,-0.37,-13.12,6.44,127035.0,
2009-06-30,2009,2,bankofamerica,2254394.0,196492.0,1999242.0,,,,0.35,2.03,3.63,263639.0,167.7
2009-06-30,2009,2,bny,203012.0,27276.0,175708.0,,,,0.65,3.43,37.83,2058.0,4.5
2009-06-30,2009,2,citigroup,1848533.0,78001.0,1694365.0,,,,-0.93,-25.32,0.0,172016.0,260.0
2009-06-30,2009,2,jpmorgan,2026642.0,146614.0,1871876.0,,,,0.22,2.34,15.21,300931.0,377.6231952748886
2009-06-30,2009,2,morganstanley,676957.0,36989.0,625494.0,,,,-2.14,-68.23,,101807.0,244.677201432793
2009-06-30,2009,2,statestreet,153421.0,12103.0,141318.0,,,,1.14,-16.51,,16931.0,5.13
2009-06-30,2009,2,wellsfargo,1284177.0,83126.0,1162795.0,,,,0.55,5.49,8.31,,59.0
2009-06-26,2009,2,goldmansachs,889544.0,55856.0,825793.0,,,,-0.87,-24.99,7.25,132982.0,
2009-03-31,2009,1,bankofamerica,2321963.0,166272.0,2082414.0,,,,0.35,2.8,2.3,246734.0,244.6
2009-03-31,2009,1,bny,203478.0,25415.0,175241.0,,,,0.54,3.66,76.31,1605.0,8.8
2009-03-31,2009,1,citigroup,1822578.0,69688.0,1676651.0,,,,-1.25,-32.72,,184803.0,291.0
2009-03-31,2009,1,jpmorgan,2079188.0,138201.0,1908994.0,,,,0.19,2.95,15.93,279837.0,475.2112120313205
2009-03-31,2009,1,morganstanley,626023.0,29314.0,576816.0,,,,-1.98,-69.75,,76729.0,192.34739534601067
2009-03-31,2009,1,statestreet,142144.0,11969.0,128286.0,,,,1.19,14.96,1.12,11790.0,5.13
2009-03-31,2009,1,wellsfargo,1285891.0,68884.0,1178834.0,,,,0.4,4.74,60.53,,103.0
2009-03-27,2009,1,goldmansachs,925290.0,47046.0,860663.0,,,,,,0.0,133395.0,
2008-12-31,2008,4,bankofamerica,1817943.0,139351.0,1640891.0,,,,0.23,1.77,,206598.0,171.3
